;date;id;text;views.count;likes.count;reposts.count;type;link;post_id;parents_stack;file_name;Unnamed: 0;Ссылка;Район;label;score;label_cat;score_cat
0;2022-01-01 00:02:35;1269004;пишут петарды плохо ну тогда и новый год зачем отмечают может сидеть в четырех стенах и кюякать друг другу и ещё дома в сабачим наморднике сидеть итог весной как по минному полю идёшь всё обосрано сегодня по дороге шёл опять сабачее гавно три кучи обалдеет и не встать;;1;;reply;;1268748.0;1268757.0;kupchinonews.csv;;https://vk.com/kupchinonews;Фрунзенский район;LABEL_1;0.9975220561027528;Благоустройство,;0.6354706883430481
1;2022-01-01 00:03:22;1269005;владимир более чем реально выкручиваются из шлеек быстрее чем из ошейников дело в неправильном подборе амуниции;;3;;reply;;1268969.0;1268981.0;kupchinonews.csv;;https://vk.com/kupchinonews;Фрунзенский район;LABEL_1;0.9725232124328612;Благоустройство,;0.5040104985237122
2;2022-01-01 00:08:14;1065802;не уверена видно что кот домашний попробовали забрать домой пока хозяин отзовётся не идёт вырывается;;2;;reply;;1065800.0;1065801.0;veselyposelok.csv;;https://vk.com/veselyposelok;Невский;LABEL_1;0.9969893097877502;Отходы,;0.3764016330242157
3;2022-01-01 00:11:38;1269006;ирина согласна у меня кот и то час в ванной просидела тут с собакой на улицу в новогоднюю ночь;;4;;reply;;1268969.0;1268970.0;kupchinonews.csv;;https://vk.com/kupchinonews;Фрунзенский район;LABEL_1;0.9959491491317748;Энергетика;0.5707183480262756
4;2022-01-01 00:16:58;1269007;вера мой тоже в ванне но если на улицу то строго в шлейке идти;;1;;reply;;1268969.0;1268971.0;kupchinonews.csv;;https://vk.com/kupchinonews;Фрунзенский район;LABEL_1;0.996380627155304;ЖКХ,;0.5557019114494324
5;2022-01-01 00:17:43;1065803;с новым годом сейчас от этих салютов столько потеряшек будет бедные животинки конечно они в стрессе попробуй найди надо было сфотографировать может все образуется все будет хорошо и потеряшка найдёт дорогу домой;;7;;comment;;1065798.0;;veselyposelok.csv;;https://vk.com/veselyposelok;Невский;LABEL_1;0.9959620833396912;Благоустройство,;0.3696425557136535
6;2022-01-01 00:20:26;1269009;под машинами искать;;0;;comment;;1268969.0;;kupchinonews.csv;;https://vk.com/kupchinonews;Фрунзенский район;LABEL_1;0.988733410835266;Транспорт,;0.7459181547164917
7;2022-01-01 00:20:55;1065804;галина с новым годом может ещё раз попытаться взять а то если убежит уже будет сложно найти может вкусняшкой заманить;;1;;comment;;1065800.0;;veselyposelok.csv;;https://vk.com/veselyposelok;Невский;LABEL_1;0.972730040550232;Благоустройство,;0.5630015134811401
8;2022-01-01 00:21:42;1269010;маргарита нет под машинамм;;1;;reply;;1268969.0;1269009.0;kupchinonews.csv;;https://vk.com/kupchinonews;Фрунзенский район;LABEL_1;0.98694509267807;Транспорт,;0.4641985297203064
9;2022-01-01 00:22:52;1065806;надежда это бесполезно только что ещё раз выходила в парадную не идёт еду из рук не берет;;0;;reply;;1065800.0;1065804.0;veselyposelok.csv;;https://vk.com/veselyposelok;Невский;LABEL_1;0.9969030022621156;ЖКХ,;0.762544572353363
10;2022-01-01 00:27:06;1361609;мы там были но салют не застали во сколько был салют;;1;;comment;;1361598.0;;pushkin_story.csv;;https://vk.com/pushkin_story;Пушкинский район;LABEL_1;0.9900895357131958;Благоустройство,;0.6695690155029297
11;2022-01-01 00:27:18;1065807;наташа речь не про коррупцию шла вообще а про быдло то есть про вас;;0;;reply;;1065635.0;1065637.0;veselyposelok.csv;;https://vk.com/veselyposelok;Невский;LABEL_1;0.9934707880020142;Безопасность,;0.4476052820682525
