Unnamed: 0;text;label;score;label_cat;score_cat
3;если хотели чтото прикупить из настолок успевайте до повышения цен ;LABEL_1;0.9947185516357422;Безопасность,;0.9236057996749878
4;а вот и новость хотя в продаже с пятницы  уже успел вчера протестировать  первые впечатления положительные давно пора было ввести в заклинательных эсбм жетоны дохлых колдунов чтобы воскресать мгновенно лично на мой взгляд крутагидоны не переплюнет но для спеллкрафт серии достойный представитель играть было вполне интересно так сказать вернулся интерес к этим частям ;LABEL_1;0.9603415131568909;Безопасность,;0.7237696051597595
5;эй колдунишки тссс  пока молчат но я вижу новую часть эсбм  уже можно заказать что я и сделал чего и вам советую  ;LABEL_1;0.9916043877601624;Здравоохранение,;0.9292408227920532
6;в целом вот так  ктото ещё приобрёл и ожидает свою коробочку вышло дороговато конечно   надеялсянадеюсь на локализацию пока больше года прошло с кика думал о продаже когда доедет но так как с локализацией нет ясности теперь не знаю    в комменты немного внутренностей красивых фоток не вышло;LABEL_1;0.9968538880348206;Безопасность,;0.8555034399032593
8;пока на этом всё ждём выхода в продажу время летит так что осталось не так много ждать  и появятся картинки получше качеством    и скоро уже должен приехать кикстартерный крутагидон  никто ещё не получил;LABEL_1;0.9958989024162292;Безопасность,;0.4031161963939667
13;скоро чуть подробнее рассмотрим механики шестой  части серии магов   но пока интересует вопросик когда локализовали крутагидона а было это после четырёх обычных частей эсбм стали играть практически только в него спеллкрафт части вспоминали очень редко стали они казаться скучными более скудными и однообразными что ли а какие у вас мысли на этот счёт  ;LABEL_1;0.9595606923103333;Благоустройство,;0.31082940101623535
15;всем утречка вот и понедельник ну и хрень ;LABEL_1;0.9960512518882751;Благоустройство,;0.7247714996337891
16;как вы там в этой жаре  будьте осторожны и пейте больше воды  а у нас тут ещё и огненная новость  без лишних слов ;LABEL_1;0.9970130920410156;Энергетика;0.9601880311965942
17;что ж у нас тут плохая средняя и хорошая новости крутагидона  нет в планах локализации у   так же не планируется коробочка для фамильяров и книг заклинаний но вот ю часть эпичных схваток ждём в этом году такие дела ;LABEL_1;0.9934449195861816;Строительство,;0.6663774847984314
20;ничего срочного просто кикстартерные коробочки отправились по миру  и уже в июле можно ожидать получение  ктото ждёт свой заказик   ________;LABEL_1;0.9944300055503845;Безопасность,;0.3508334457874298
