,text,label
0, завершился очередной мастер класс по росписи новогодней игрушки продолжаем поднимать новогоднее настроение,0
1,приём заместителя прокурора санктпетербурга декабря  года с  до  заместитель прокурора санктпетербурга юрасов аг проведёт личный приём гражданприём состоится пражская ул д прокуратура фрунзенского районазапись по телефону при себе заявителям необходимо иметь документ удостоверяющий личность,0
2, завершился очередной мастер класс по росписи новогодней игрушки продолжаем поднимать новогоднее настроение,0
3, г в помещении мо балканский прошел очередной мастеркласс по росписи новогодних шаров,0
4, в помещении мо балканский прошел мастеркласс по росписи новогодних шаров все участники смогли почувствовать себя в роли художника и собственноручно расписали ёлочные шары а также погрузились в атмосферу праздника каждый участник создал свой неповторимый шедевр и по завершении мастер класса унес домой хорошее настроение и неповторимую новогоднюю игрушку,0
5,уважаемые жители билеты  на детское новогоднее представление волшебное зеркало деда мороза закончились ,0
6,приглашаем взрослых и детей старше  лет на новогодний мастеркласс роспись новогоднего елочного шарикагде в помещении ма мо балканский по адресу  ул купчинская дом  когда    в   новый год  пора подарков и сюрпризов шумного веселья счастья и конечно исполнения желаний самым известным украшением ёлки и дома к празднику являются новогодние шары к тому же это замечательный подарок тем более когда сделан своими руками с удовольствием приглашаем вас и ваших детишек окунуться в мир волшебного превращения длительность мастер класса  час  количество участников на один мастер класс  человек записаться на мастеркласс можно по телефону ,0
7,приглашаем жителей муниципального округа балканский для получения бесплатных билетов с подарком в дк ленсовета  на детское новогоднее представление волшебное зеркало деда мороза которое состоится  декабря  рекомендуемый возраст детей от  до и лет выдача билетов с  года с  до   перерыв с  до   пятница с  до   перерыв с  до   для получения билетов необходимо предъявить паспорт с регистрацией на территории нашего муниципального образования и свво о рождении ребенка если ребенок не вписан в паспорт,0
8,в период с  по  ноября в мо балканский был организован творческий конкурс  я и моя мамочка лучшие друзья в конкурсе приняли участие  ребёнка всё работы  получились яркими красочными разнообразными но в каждой чувствовалась любовь к самому дорогому человеку на свете к своей мамочке,0
9, в помещении мо балканский прошел мастеркласс по росписи новогодних шаров все участники смогли почувствовать себя в роли художника и собственноручно расписали ёлочные шары а также погрузились в атмосферу праздника каждый участник создал свой неповторимый шедевр и по завершении мастер класса унес домой хорошее настроение и неповторимую новогоднюю игрушку,0
